批次号 (溯源码)	产品名称	GS1-128标准码	隐形防伪码
B-FARMER-20260209-F4HE	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-F4(3102)045200	56b1d5f3f0b34c05
B-FARMER-20260209-QWA2	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-QW(3102)005850	1ff3e9b0ffd24cb7
B-FARMER-20260209-BVAL	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-202-0fyg4ef(3102)029250	1087e4bb4d8241c1
B-FARMER-20260209-WAOZ	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-WA(3102)004800	c87ed05ac2234368
B-FARMER-20260209-UDA4	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-UD(3102)024000	3cda8abf28394311
B-FARMER-20260209-MCK5	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-MC(3102)004770	af43d23fae1d4b3f
B-FARMER-20260209-WBZT	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-WB(3102)023850	cf3115f318984355
B-FARMER-20260209-O72S	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-O7(3102)007620	2236aef534a64572
B-FARMER-20260209-M87J	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-M8(3102)038100	a505a0fa54804874
B-FARMER-20260209-FOFW	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-202-00w94yp(3102)004590	3ac708000b614e4c
B-FARMER-20260209-1M38	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-1M(3102)022950	daf6aa396d6147f3
B-FARMER-20260209-R7R6	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-R7(3102)008920	42cec43b085140b7
B-FARMER-20260209-FN6S	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-FN(3102)044600	ab7fd68ad7744eed
B-FARMER-20260209-Q4WX	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-Q4(3102)004040	e48153fdc2244fbe
B-FARMER-20260209-2K2C	云南三七 (原始)	(01)06912345678901(10)B-FARMER-202-03t9kfw(3102)020200	9ac9111c3b6e4d89
B-FARMER-20260209-IBP0	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-IB(3102)006890	0683eb952d7445fc
B-FARMER-20260209-WZ63	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-WZ(3102)034450	f0168798426a4f09
B-FARMER-20260209-K4CZ	云南三七 精制片	(01)06912345678901(10)B-FARMER-202-0eg6fwi(3102)003900	bf964af2ea0f45ee
B-FARMER-20260209-BYCO	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-BY(3102)019500	13d0a163cd7b439c
B-FARMER-20260209-ED2H	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-0e2rnz1(3102)006550	3d0e50344c4c4368
B-FARMER-20260209-GKIO	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-GK(3102)032750	727d6dec30784910
B-FARMER-20260209-YJ9F	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-0842lmt(3102)006040	7a98732c3f754c2d
B-FARMER-20260209-5NB8	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-0gdnjdu(3102)030200	ee33361f9b024129
B-FARMER-20260209-MMJB	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-MM(3102)002310	235048471a284ff3
B-FARMER-20260209-YXY9	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-YX(3102)011550	ae40e139c5e44eed
B-FARMER-20260209-SQ5P	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-SQ(3102)007770	a4bd730180404a1f
B-FARMER-20260209-NM6P	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-NM(3102)038850	caab7293c6474889
B-FARMER-20260209-FO1T	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-005cqy7(3102)006620	6ecc51c01daf4b01
B-FARMER-20260209-BEL2	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-202-001byu2(3102)033100	7416993555334131
B-FARMER-20260209-KBA7	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-KB(3102)007850	b9435e56bcdb4506
B-FARMER-20260209-A74A	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-A7(3102)039250	ba6e5f09bef142e0
B-FARMER-20260209-CDIQ	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-CD(3102)004310	ad95052099d74c22
B-FARMER-20260209-F6P2	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-202-0g8hnli(3102)021550	0c8fb12aa7204521
B-FARMER-20260209-XH5N	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-XH(3102)006580	bbbfe94087184996
B-FARMER-20260209-LQQU	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-LQ(3102)032900	f1b347a983c24916
B-FARMER-20260209-8FKE	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-8F(3102)008220	b16abff4630a4383
B-FARMER-20260209-7N3V	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-7N(3102)041100	33ae8b29a92446f8
B-FARMER-20260209-TC7E	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-TC(3102)005560	4be72a3d6e0b4616
B-FARMER-20260209-M0F3	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-M0(3102)027800	97cf039702364423
B-FARMER-20260209-8YR5	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-8Y(3102)005770	61f89cb28a6c4c2d
B-FARMER-20260209-5UXY	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-01mejty(3102)028850	666ad0255c3a42ca
B-FARMER-20260209-HIP2	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-HI(3102)008470	cb57e9ee107a4bca
B-FARMER-20260209-IJHJ	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-IJ(3102)042350	bbd00a2575e348c9
B-FARMER-20260209-D3ID	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-D3(3102)007740	f3b330db966d40c9
B-FARMER-20260209-4LW0	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-0hd6v7u(3102)038700	32c79fb9a55b4d23
B-FARMER-20260209-X03H	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-X0(3102)004330	037ade72511a4856
B-FARMER-20260209-0BS8	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-0B(3102)021650	55d9ee07d6e74973
B-FARMER-20260209-RNKX	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-202-0799jd9(3102)005430	e1d8f2ec4c914415
B-FARMER-20260209-OMRV	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-202-09cgs2e(3102)027150	51431cf045984301
B-FARMER-20260209-XPDF	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-202-03ck1gm(3102)006290	0f23ff9936cd4037
B-FARMER-20260209-PSJA	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-202-0eoh4my(3102)031450	e04126f92ee14b8a
B-FARMER-20260209-WMH3	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-WM(3102)008260	412a3249b9e14373
B-FARMER-20260209-R99Y	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-0euaphj(3102)041300	3926b79c3a6f4129
B-FARMER-20260209-S0QD	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-S0(3102)006510	5e752a5509354304
B-FARMER-20260209-D2TE	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-D2(3102)032550	059c6b3dceed4f77
B-FARMER-20260209-M90X	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-M9(3102)005180	07bbe143dcdc40d7
B-FARMER-20260209-ER4W	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-20260209-ER(3102)025900	7c0b59c44e8f4db5
B-FARMER-20260209-ZPMQ	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-03wp79f(3102)006420	45cfb39373214024
B-FARMER-20260209-4834	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-48(3102)032100	2e1756d711bd42c0
B-FARMER-20260209-JUHK	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-JU(3102)006890	dfad4f6ac24045be
B-FARMER-20260209-CQ69	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-CQ(3102)034450	a16269dbe9914502
B-FARMER-20260209-C5GJ	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-C5(3102)002730	ef0822d420a3433e
B-FARMER-20260209-08EJ	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-08(3102)013650	9f5a2223235c4520
B-FARMER-20260209-H6BD	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-09uydpa(3102)006480	0412ab8ef9fc492c
B-FARMER-20260209-9OF6	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-9O(3102)032400	4e4fec37fd084b74
B-FARMER-20260209-A57H	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-04k0cts(3102)002910	80aad40703404575
B-FARMER-20260209-QH5W	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-QH(3102)014550	3ecab490f8774c72
B-FARMER-20260209-TWYP	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-TW(3102)003230	bd8523af19a24f94
B-FARMER-20260209-LLUB	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-LL(3102)016150	e3e71e4aabf64963
B-FARMER-20260209-F6QH	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-F6(3102)006400	9c41d48efc584cd3
B-FARMER-20260209-5UGY	云南三七 (原始)	(01)06912345678901(10)B-FARMER-202-0fpndkh(3102)032000	7dcfe0dc8c234758
B-FARMER-20260209-T8OR	长白山人参 精制片	(01)06912345678901(10)B-FARMER-202-025lo9r(3102)001390	3df1fb1276e4407a
B-FARMER-20260209-FHB0	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-202-0f6t8dc(3102)006950	6dd2805edc1a4199
B-FARMER-20260209-4GI2	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-4G(3102)004710	33bf4828332a4805
B-FARMER-20260209-VWSG	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-202-03w4b8p(3102)023550	83b5df3b304b4baa
B-FARMER-20260209-2QGV	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-2Q(3102)001660	0e64b1593dfa483c
B-FARMER-20260209-SYUC	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-SY(3102)008300	bddb254b8c1c4030
B-FARMER-20260209-5MJN	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-037iovz(3102)002900	d72b5cfc15d74052
B-FARMER-20260209-H81P	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-202-071lujj(3102)014500	b0a47439261e473b
B-FARMER-20260209-UP25	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-UP(3102)004910	2c79b4b283864821
B-FARMER-20260209-DYIC	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-0fjgtls(3102)024550	37efaa6ee52744ef
B-FARMER-20260209-H4FS	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-H4(3102)002050	9de61fa0143a4b97
B-FARMER-20260209-GU7Y	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-202-096td29(3102)010250	76da1909aae54bc0
B-FARMER-20260209-2J5K	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-202-09s1fxy(3102)003000	b6eabdc2073f41d7
B-FARMER-20260209-VMGP	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-VM(3102)015000	09fa209ddf044ff1
B-FARMER-20260209-TV9Y	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-TV(3102)007520	c899aaa139e44e25
B-FARMER-20260209-B8SE	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-0dtzds3(3102)037600	a6f3bc7bf8b944d0
B-FARMER-20260209-VFPL	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-VF(3102)001470	9c85cc1e4df9455e
B-FARMER-20260209-7P9H	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-01ao5vo(3102)007350	24942e3018454489
B-FARMER-20260209-CSZH	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-CS(3102)009400	6e25eda510a04d18
B-FARMER-20260209-AXI4	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-AX(3102)047000	d063a64ceb2941cb
B-FARMER-20260209-HKZA	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-HK(3102)009420	677b2854e61a4ca6
B-FARMER-20260209-RNGW	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-RN(3102)047100	427f34b0f64743e1
B-FARMER-20260209-S941	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-01v4hmy(3102)006590	edfc1f1446824fa0
B-FARMER-20260209-ZPR0	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-202-09y7k20(3102)032950	dc68eb262ade4e9c
B-FARMER-20260209-9SDM	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-9S(3102)007920	bb59639d9943443b
B-FARMER-20260209-PGD7	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-PG(3102)039600	949fc854c0534f19
B-FARMER-20260209-7Y4D	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-7Y(3102)006100	6fa7f580585f4207
B-FARMER-20260209-OR2N	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-202-0djzy5o(3102)030500	1bc9a83267e54c12
B-FARMER-20260209-10CG	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-10(3102)005540	988443e3d5dc4c59
B-FARMER-20260209-HGYB	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-HG(3102)027700	3fda00aac88c4f64
B-FARMER-20260209-APOH	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-AP(3102)005490	0d0633d84cf14add
B-FARMER-20260209-HMKJ	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-202-0aj3y9m(3102)027450	d8ac86504b3542a2
B-FARMER-20260209-R4VT	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-R4(3102)001790	4b680ba78e994045
B-FARMER-20260209-E8J4	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-E8(3102)008950	3f4fca50dc7940f8
B-FARMER-20260209-S5Y8	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-S5(3102)002830	7cdfd6bc684f40ca
B-FARMER-20260209-JD2O	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-06x5agr(3102)014150	0940fe655138471a
B-FARMER-20260209-9MJO	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-9M(3102)007210	b6fd79f44e1a4229
B-FARMER-20260209-YAT0	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-YA(3102)036050	19b2f630c682493a
B-FARMER-20260209-ZIHB	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-ZI(3102)002280	47d35e2e7dc04830
B-FARMER-20260209-0K9D	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-0K(3102)011400	0a304e03297e40ee
B-FARMER-20260209-KYZ4	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-KY(3102)005780	eafd103af27942a7
B-FARMER-20260209-FI6L	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-20260209-FI(3102)028900	af5c7a118c214930
B-FARMER-20260209-2K2Z	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-2K(3102)003980	20d225c4f57446bc
B-FARMER-20260209-5RFX	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-5R(3102)019900	a38a6703337544d8
B-FARMER-20260209-3LE9	四川当归 精制片	(01)06912345678901(10)B-FARMER-202-0gi8r2l(3102)002250	80b981c2876b4157
B-FARMER-20260209-9YJG	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-9Y(3102)011250	05c7d715923a4073
B-FARMER-20260209-CWYP	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-CW(3102)007090	e7cd43714aba4629
B-FARMER-20260209-V89V	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-V8(3102)035450	2ad14fc40d9341a4
B-FARMER-20260209-MZGH	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-MZ(3102)004110	d3864a458d094407
B-FARMER-20260209-R5Z9	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-R5(3102)020550	a83ce014d5454668
B-FARMER-20260209-BHMQ	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-BH(3102)006590	2649130590cc4d3e
B-FARMER-20260209-ZQSA	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-03ghble(3102)032950	da2cfe8ad965422b
B-FARMER-20260209-FHJW	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-FH(3102)003310	180928871eaf4298
B-FARMER-20260209-8NOU	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-8N(3102)016550	641e3a1871dc4240
B-FARMER-20260209-NXA9	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-NX(3102)003850	2e8fa478e5d740af
B-FARMER-20260209-QTSV	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-QT(3102)019250	04dfb18537394bef
B-FARMER-20260209-7MZP	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-7M(3102)002820	f827e4540d8d49ec
B-FARMER-20260209-GAF8	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-GA(3102)014100	9040621a9042448a
B-FARMER-20260209-RIRM	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-RI(3102)003370	ea0b2f657c6549f1
B-FARMER-20260209-1SM1	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-1S(3102)016850	df4eba150867407d
B-FARMER-20260209-L7E4	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-L7(3102)006920	d7c11f7824c34c0c
B-FARMER-20260209-8ILK	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-8I(3102)034600	3683385a24974619
B-FARMER-20260209-XC2X	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-XC(3102)008660	bc27351794c1453d
B-FARMER-20260209-IWAS	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-IW(3102)043300	0b6d5c3b0dec4354
B-FARMER-20260209-5N70	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-5N(3102)006220	b278e717bda54c8e
B-FARMER-20260209-6WHD	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-6W(3102)031100	b73595fb71704c87
B-FARMER-20260209-A4NV	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-0bhcdpl(3102)003440	63a5d37a79d0432b
B-FARMER-20260209-XXJ2	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-XX(3102)017200	9b51ae330ff84132
B-FARMER-20260209-0S3C	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-0S(3102)002710	4f94a1c7456e4ca4
B-FARMER-20260209-A2DY	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-A2(3102)013550	4fc144782fb84288
B-FARMER-20260209-XQIO	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-XQ(3102)001460	f7c9e15396174158
B-FARMER-20260209-OHAS	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-0bdejau(3102)007300	37812905bf18490b
B-FARMER-20260209-A5PO	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-A5(3102)004120	6382f12fd261453c
B-FARMER-20260209-N074	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-N0(3102)020600	e39c7e715e8643b6
B-FARMER-20260209-Z524	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-Z5(3102)004470	34f4afb2718348bc
B-FARMER-20260209-EHA3	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-EH(3102)022350	c6a55b259a99488d
B-FARMER-20260209-AHQZ	云南三七 精制片	(01)06912345678901(10)B-FARMER-202-0evva56(3102)009920	4627c381b0d4454a
B-FARMER-20260209-13DS	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-13(3102)049600	c976bbc0928946b8
